store_id,store_name,zone,latitude,longitude,baseline_capacity,status,opened_at,closed_at
STR-001,Dark Store 001,BLR-CEN,12.956592,77.586702,123,ACTIVE,2025-02-11 00:00:00,
STR-002,Dark Store 002,BLR-EST,12.975853,77.685951,103,ACTIVE,2025-06-28 00:00:00,
STR-003,Dark Store 003,BLR-EST,12.935243,77.703072,113,ACTIVE,2025-01-03 00:00:00,
STR-004,Dark Store 004,BLR-WST,12.939724,77.523202,104,ACTIVE,2025-02-02 00:00:00,
STR-005,Dark Store 005,BLR-WST,12.988317,77.545791,158,ACTIVE,2025-09-21 00:00:00,
STR-006,Dark Store 006,BLR-EST,12.975872,77.676176,119,ACTIVE,2025-07-03 00:00:00,
STR-007,Dark Store 007,BLR-STH,12.893092,77.613443,116,ACTIVE,2025-06-05 00:00:00,
STR-008,Dark Store 008,BLR-WST,12.97055,77.557577,158,ACTIVE,2025-08-15 00:00:00,
STR-009,Dark Store 009,BLR-WST,12.944189,77.513423,168,ACTIVE,2025-02-10 00:00:00,
STR-010,Dark Store 010,BLR-NTH,13.02773,77.607313,91,ACTIVE,2025-02-25 00:00:00,
STR-011,Dark Store 011,BLR-EST,12.987469,77.646883,122,ACTIVE,2025-10-16 00:00:00,
STR-012,Dark Store 012,BLR-EST,12.979345,77.697134,169,ACTIVE,2025-10-26 00:00:00,
STR-013,Dark Store 013,BLR-EST,12.999863,77.692521,173,ACTIVE,2025-08-13 00:00:00,
STR-014,Dark Store 014,BLR-STH,12.886549,77.59301,174,ACTIVE,2025-05-24 00:00:00,
STR-015,Dark Store 015,BLR-CEN,12.958987,77.600548,107,ACTIVE,2025-06-07 00:00:00,
STR-016,Dark Store 016,BLR-NTH,13.018749,77.565677,83,ACTIVE,2025-11-24 00:00:00,
STR-017,Dark Store 017,BLR-WST,12.943124,77.525056,111,ACTIVE,2025-02-22 00:00:00,
STR-018,Dark Store 018,BLR-CEN,12.981643,77.572692,123,ACTIVE,2025-06-07 00:00:00,
STR-019,Dark Store 019,BLR-STH,12.920276,77.600487,165,ACTIVE,2025-07-24 00:00:00,
STR-020,Dark Store 020,BLR-WST,12.972026,77.535525,154,ACTIVE,2025-10-04 00:00:00,
